id,guesses,creatingUsername
30,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
31,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
32,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
33,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
34,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
35,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
36,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
37,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
38,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
39,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
40,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
41,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
42,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
43,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
44,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
45,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
46,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
47,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
48,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
49,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
50,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
51,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
52,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
53,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
54,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
55,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
56,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
57,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
58,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
59,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
60,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
61,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
62,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
63,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
64,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
65,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
66,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
67,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
68,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
69,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
70,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
71,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
72,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
73,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
74,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
75,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
76,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
77,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
78,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
79,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
80,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
81,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
82,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
83,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
84,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
85,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
86,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
87,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
88,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
89,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
90,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
91,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
92,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
93,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
94,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
95,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
